query_path,query_name,query_label,P@20,P@40,P@60
d:\CODE\PY\BJTU_Vision\image_retrieval\query\kx-1vgyuhy.jpg,kx-1vgyuhy.jpg,kx,0.0,0.0,0.0
d:\CODE\PY\BJTU_Vision\image_retrieval\query\kx-sklapp29080921.jpg,kx-sklapp29080921.jpg,kx,0.1,0.05,0.05
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-03e1ebaa-d9ca-4cb3-b0ed-770bec526323.png,mh-03e1ebaa-d9ca-4cb3-b0ed-770bec526323.png,mh,0.7,0.4,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-4598jfgknxnvb.jpg,mh-4598jfgknxnvb.jpg,mh,1.0,0.775,0.55
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-4rft76yg.jpg,mh-4rft76yg.jpg,mh,1.0,1.0,0.7
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-71d24365e68e2edfca3a37bef1458f2.jpg,mh-71d24365e68e2edfca3a37bef1458f2.jpg,mh,0.25,0.15,0.1
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-cdksbfebh2345.jpg,mh-cdksbfebh2345.jpg,mh,1.0,0.75,0.55
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-czd239.jpg,mh-czd239.jpg,mh,0.85,0.55,0.4
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-fsbfyiwfwf.jpg,mh-fsbfyiwfwf.jpg,mh,0.7,0.425,0.3333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-GIQJ5dXRkyHpxv.jpg,mh-GIQJ5dXRkyHpxv.jpg,mh,0.15,0.1,0.11666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-ighru832s1d5w3.jpg,mh-ighru832s1d5w3.jpg,mh,0.95,0.525,0.36666666666666664
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-mandyouhereinmyheartand817.png,mh-mandyouhereinmyheartand817.png,mh,0.0,0.025,0.016666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-P2R4U7W9B3E6H8L1.png,mh-P2R4U7W9B3E6H8L1.png,mh,0.45,0.25,0.16666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-pZ3P6dEFfm50iq8.JPG,mh-pZ3P6dEFfm50iq8.JPG,mh,0.85,0.475,0.35
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-uij29j229jd.jpg,mh-uij29j229jd.jpg,mh,1.0,1.0,0.8833333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\mh-wo42eo2krhi3r3.jpg,mh-wo42eo2krhi3r3.jpg,mh,0.6,0.4,0.26666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-202405152208432.jpg,nm-202405152208432.jpg,nm,0.25,0.225,0.23333333333333334
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-2egsd1x3e86s5f.jpg,nm-2egsd1x3e86s5f.jpg,nm,0.2,0.1,0.06666666666666667
